ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
2110,8,6,2023,58,P,478,11,9,30000
9675,16,8,2024,43,L,930,14,4,10000
2616,21,10,2024,68,L,753,4,13,10000
9583,20,11,2023,28,L,190,3,9,10000
6106,11,1,2022,72,P,523,9,10,40000
6355,18,5,2022,42,L,767,3,2,10000
207,14,11,2022,76,P,207,8,10,20000
1312,4,1,2023,55,P,216,8,6,10000
7918,10,4,2024,79,P,130,15,4,40000
5428,23,2,2022,69,P,689,19,6,20000
2192,19,6,2024,48,L,821,19,14,50000
9253,16,3,2023,55,L,597,6,11,30000
7181,30,10,2024,32,P,300,13,9,10000
6716,24,2,2022,66,P,28,10,1,40000
4880,1,10,2024,55,P,782,17,13,40000
4042,25,4,2022,39,L,695,14,1,40000
6663,30,4,2024,41,P,838,5,3,40000
7539,15,4,2023,66,P,158,11,14,20000
9420,4,9,2024,53,P,93,15,3,50000
5304,20,4,2024,44,P,240,18,8,50000
2082,31,6,2022,38,P,842,1,10,50000
5834,26,4,2023,51,P,884,14,1,20000
9067,10,3,2022,44,L,638,15,12,40000
4203,9,9,2022,45,L,479,10,13,40000
3988,24,10,2022,71,P,799,15,5,20000
421,14,6,2023,53,L,670,3,11,30000
815,2,7,2022,77,P,822,12,14,40000
2114,4,10,2022,41,L,709,17,7,30000
2661,3,11,2023,77,P,977,15,4,10000
7039,8,8,2022,37,L,559,19,13,50000
3610,18,8,2023,61,P,879,5,3,40000
9105,8,2,2023,76,P,29,16,14,30000
1354,9,2,2024,42,P,166,18,11,20000
955,15,3,2022,70,P,625,17,3,50000
9606,17,8,2024,55,P,785,18,1,20000
4357,24,1,2023,44,L,632,1,2,10000
6741,6,8,2022,54,L,763,17,14,30000
2333,25,6,2024,29,L,528,7,3,40000
4273,11,4,2024,22,L,31,8,14,50000
2206,6,12,2023,25,P,450,15,6,50000
5962,26,6,2024,57,L,297,18,12,40000
8759,24,10,2024,66,P,872,10,11,30000
6827,28,1,2023,72,L,219,4,13,20000
7354,23,9,2022,40,P,19,4,5,10000
8338,8,10,2022,59,P,864,17,9,10000
5350,12,3,2024,79,P,932,2,13,40000
8950,31,1,2024,56,L,951,16,4,40000
6921,11,5,2023,68,L,203,1,5,30000
4261,23,4,2022,68,L,895,7,4,10000
2625,20,12,2024,46,L,287,2,4,50000
2725,19,3,2024,73,P,124,13,5,20000
1280,25,8,2022,66,P,146,15,11,20000
6314,22,12,2023,30,L,740,17,7,30000
3424,7,4,2022,68,P,135,2,9,40000
9692,19,10,2024,35,P,460,4,5,30000
9499,10,4,2024,42,L,755,6,7,40000
2528,31,2,2023,26,P,581,20,3,50000
8026,20,3,2024,54,P,746,15,1,40000
2421,17,7,2023,40,P,681,10,6,30000
9568,15,1,2024,64,L,174,10,11,40000
7674,18,6,2024,52,P,161,10,7,20000
6432,24,7,2023,63,L,630,9,6,50000
1292,1,11,2022,77,P,39,17,9,10000
7061,6,11,2024,79,L,715,18,13,10000
9228,28,10,2024,69,L,500,14,3,40000
435,17,7,2024,54,P,572,3,8,50000
6666,9,7,2022,75,P,185,3,5,20000
238,17,8,2024,64,P,273,2,2,30000
9429,12,6,2023,35,P,196,12,3,20000
4754,6,3,2023,31,L,557,6,1,30000
5295,28,10,2022,76,P,136,13,4,40000
6597,5,11,2024,67,L,51,18,1,30000
1301,27,11,2022,25,P,811,2,13,40000
572,2,1,2023,80,P,982,6,2,40000
2510,31,6,2022,60,P,840,9,10,10000
5193,9,6,2024,27,P,132,20,10,50000
206,20,5,2024,39,L,909,8,5,50000
7255,26,7,2022,65,P,868,7,5,40000
2993,29,3,2023,51,P,483,18,1,10000
4172,12,7,2024,75,P,130,2,10,40000
7900,18,2,2024,33,P,615,20,13,20000
1619,16,3,2024,26,P,670,8,1,30000
6504,12,6,2022,34,L,359,19,3,30000
1766,24,4,2022,29,P,731,12,5,40000
4790,30,10,2023,68,L,191,8,9,50000
1850,29,9,2022,67,P,347,1,8,50000
6709,4,12,2024,73,L,70,15,3,50000
4417,20,8,2024,63,P,544,13,5,50000
1797,26,2,2022,34,L,571,2,10,50000
5629,28,4,2023,45,P,764,14,7,30000
7183,5,5,2023,43,P,180,19,9,30000
8480,3,8,2023,53,L,224,16,1,30000
5591,28,8,2023,59,P,780,2,2,10000
4992,27,7,2023,52,P,131,16,14,50000
559,24,2,2023,47,L,783,10,3,20000
5022,21,10,2022,80,P,536,7,2,10000
1385,21,2,2023,69,L,694,14,8,20000
9899,22,6,2022,51,L,483,4,7,50000
4972,21,4,2023,39,P,437,5,10,10000
9794,3,8,2022,29,P,825,3,4,50000
7001,19,2,2024,54,L,368,19,2,40000
3367,6,11,2022,69,P,154,9,1,30000
5990,3,11,2024,43,L,941,3,13,30000
4342,12,2,2023,71,L,156,16,8,10000
5968,17,6,2024,74,P,771,9,12,50000
5598,17,12,2023,39,P,552,10,10,30000
6259,9,8,2024,22,L,317,12,13,10000
8684,11,2,2022,21,L,787,18,10,40000
9034,14,8,2022,74,P,361,18,8,40000
3019,4,6,2024,71,P,214,9,14,50000
7248,8,8,2024,63,P,753,16,6,50000
9181,22,10,2022,31,L,944,11,9,20000
7664,25,3,2022,41,P,141,19,14,40000
7024,5,10,2024,76,L,870,3,4,40000
7220,9,11,2022,27,P,318,10,13,40000
7473,14,6,2024,56,L,827,3,2,50000
686,28,9,2024,43,L,898,6,14,50000
1173,26,5,2024,27,L,103,7,7,30000
2975,20,11,2024,51,L,433,5,3,40000
1039,22,9,2022,67,P,639,2,6,20000
4856,5,7,2022,41,L,358,5,8,40000
3994,6,11,2022,39,P,968,8,4,10000
6290,23,6,2023,26,P,505,11,4,50000
5670,14,5,2022,60,L,703,13,9,20000
756,6,4,2024,33,L,824,5,13,10000
4482,10,8,2022,40,L,134,11,10,40000
9183,19,10,2022,63,P,318,3,1,20000
9563,16,3,2024,69,P,45,15,1,40000
8325,7,6,2024,30,P,212,18,6,30000
6858,28,10,2024,28,L,785,2,2,10000
8485,23,6,2023,59,L,428,14,2,50000
5542,16,11,2024,28,L,991,9,13,50000
8357,22,1,2022,46,L,704,9,7,10000
191,23,3,2022,47,P,253,15,3,30000
8329,16,7,2022,75,P,531,12,11,30000
5271,11,2,2022,39,P,61,20,11,20000
7482,27,2,2022,58,L,704,12,1,50000
3151,15,2,2022,31,L,33,5,9,10000
8695,15,4,2024,66,P,231,9,9,50000
3003,19,12,2024,69,P,674,12,7,30000
888,29,7,2022,26,P,850,13,10,50000
8410,29,12,2023,77,P,973,3,4,30000
519,10,9,2024,37,L,405,4,5,40000
1058,12,10,2022,35,P,171,10,8,50000
5277,24,6,2024,32,L,620,2,8,40000
7108,20,10,2024,74,P,946,7,13,40000
8825,20,12,2023,60,L,128,6,8,30000
2656,20,9,2023,23,L,492,4,8,20000
5950,29,12,2023,60,L,88,5,4,40000
7457,5,8,2024,45,L,579,8,9,50000
2578,4,3,2024,68,P,558,8,11,40000
5217,8,11,2024,23,P,340,2,10,20000
2061,25,8,2023,78,L,650,18,4,50000
856,4,10,2023,79,P,36,3,6,40000
8905,12,1,2024,37,P,586,13,14,20000
6020,25,12,2024,53,P,877,13,1,20000
918,30,11,2023,63,L,225,16,11,20000
6064,1,11,2024,61,P,333,14,5,30000
2166,4,4,2024,53,L,798,7,13,20000
9476,18,10,2022,73,L,293,15,1,10000
8040,21,7,2023,67,L,430,19,2,40000
4453,27,9,2023,48,L,218,4,2,10000
1804,24,11,2024,36,L,47,10,13,20000
7328,15,11,2022,32,P,596,9,14,30000
7823,31,6,2024,77,P,100,19,8,40000
1704,3,1,2023,39,P,397,8,10,30000
6868,13,4,2024,50,L,352,14,14,30000
48,3,11,2024,49,L,635,15,6,10000
1629,19,11,2022,55,L,143,8,9,30000
5261,29,3,2023,76,P,974,18,12,20000
3581,18,1,2024,74,L,490,5,7,50000
5709,29,7,2022,73,L,240,12,10,50000
9021,28,4,2022,65,L,972,2,2,30000
8207,16,6,2023,31,P,709,9,1,20000
1150,22,4,2023,67,P,119,10,12,20000
3751,29,1,2024,40,P,789,19,13,20000
6605,1,11,2024,50,P,738,4,13,20000
9354,10,3,2024,35,P,790,19,13,10000
212,30,10,2024,39,L,600,13,14,40000
5295,10,10,2024,42,P,65,12,3,10000
214,13,4,2022,73,L,439,7,14,20000
481,5,3,2022,50,P,71,4,8,20000
3248,11,6,2022,28,L,91,6,6,30000
9370,22,7,2022,30,P,211,3,11,20000
693,31,5,2023,25,P,5,2,3,30000
3985,5,11,2022,49,P,42,13,6,20000
9923,14,4,2024,35,P,254,12,7,20000
1259,25,1,2024,62,P,516,8,12,10000
5920,20,5,2022,53,L,235,1,12,40000
9095,1,7,2024,62,L,387,19,14,20000
8026,18,5,2022,56,L,970,20,6,40000
2340,17,8,2024,52,P,519,8,6,50000
8082,28,10,2023,61,P,113,9,6,50000
2511,10,9,2023,77,L,574,15,3,40000
8236,2,8,2022,30,P,374,8,2,10000
9103,12,7,2023,31,L,776,16,12,20000
9484,7,11,2022,34,L,182,8,8,40000
1173,5,12,2022,64,L,817,3,13,20000
4137,24,9,2024,34,L,209,3,11,30000
4070,24,2,2024,55,L,193,4,11,20000
8645,24,8,2022,53,P,146,3,12,50000
5102,21,10,2023,23,P,12,16,1,50000
5695,31,7,2023,77,L,445,18,4,10000
6752,14,12,2023,57,P,745,19,14,30000
9006,20,9,2024,28,P,925,9,10,40000
7289,23,7,2024,49,P,615,5,13,50000
2994,16,6,2023,36,P,959,19,12,20000
3246,1,6,2023,49,L,787,10,13,10000
9009,28,2,2023,72,P,82,9,6,40000
9955,20,12,2023,53,P,99,1,12,50000
1641,27,6,2022,24,L,488,5,10,50000
826,30,7,2024,40,P,470,19,10,20000
875,24,7,2022,23,P,318,2,12,40000
5954,9,4,2023,78,P,191,2,6,20000
5797,7,7,2024,46,L,965,6,9,10000
6631,9,1,2024,64,P,935,17,5,10000
946,25,2,2023,44,P,26,3,14,10000
6898,24,2,2022,52,L,628,2,6,20000
8343,29,10,2023,29,L,997,7,8,40000
3870,7,6,2023,33,P,192,5,4,40000
1642,26,3,2024,51,P,713,5,13,50000
684,29,3,2023,32,P,120,15,5,30000
7001,19,8,2023,58,L,268,7,5,20000
3022,30,6,2023,25,L,497,18,3,20000
6409,20,10,2023,42,P,133,9,2,40000
1876,30,11,2024,54,L,990,10,6,30000
4543,16,9,2023,64,P,24,4,13,20000
9022,3,11,2023,42,P,444,20,10,40000
2055,10,3,2023,70,L,233,7,8,40000
9549,1,4,2023,49,P,891,10,12,40000
1399,21,6,2023,23,P,420,11,1,10000
5383,1,4,2023,67,P,818,2,5,10000
3176,30,6,2023,26,P,937,7,12,20000
9158,3,10,2024,73,P,967,13,10,50000
6499,28,6,2022,73,P,670,2,2,10000
4460,18,9,2024,39,P,751,19,10,30000
6967,16,9,2024,62,P,44,15,5,40000
3646,14,6,2022,46,P,818,20,13,40000
8014,21,10,2022,25,P,35,10,1,20000
3837,4,7,2023,53,P,14,12,9,30000
9361,11,6,2022,74,P,160,3,5,20000
9688,1,5,2024,69,P,212,11,6,10000
5204,1,9,2022,56,L,729,8,11,50000
5807,9,12,2022,41,P,574,4,8,50000
9633,26,4,2024,35,P,948,9,12,20000
7196,22,11,2023,52,P,511,14,13,40000
6712,31,1,2023,50,L,113,16,6,40000
2772,5,2,2024,68,L,60,13,5,40000
7253,2,11,2023,68,L,314,6,12,10000
938,13,3,2022,78,P,106,20,12,20000
4713,29,2,2023,54,L,134,19,14,30000
2162,18,7,2022,30,L,516,15,11,20000
9924,17,5,2023,65,P,121,5,10,20000
5911,29,6,2023,38,P,504,2,5,50000
9331,6,1,2022,21,P,476,6,11,50000
1471,28,2,2023,25,P,147,20,5,50000
4036,12,10,2024,26,P,695,5,8,30000
8930,19,10,2024,57,P,175,6,12,50000
3981,7,9,2022,63,P,252,6,5,40000
8176,18,12,2024,68,P,624,15,4,50000
1832,26,6,2022,74,P,779,16,9,10000
9698,26,3,2023,47,L,689,1,8,10000
3238,28,10,2022,38,P,294,4,9,20000
344,15,6,2022,31,L,223,3,7,50000
918,31,8,2023,41,L,133,17,8,40000
1163,2,12,2022,79,L,788,8,12,40000
4959,17,6,2024,49,L,924,2,7,50000
1414,10,9,2023,77,P,517,1,7,50000
6490,3,3,2022,80,P,386,12,1,40000
1908,20,8,2022,68,L,43,1,3,10000
6182,10,8,2022,24,P,852,11,2,30000
4697,22,3,2024,70,L,737,10,7,20000
9768,9,1,2024,62,P,987,2,10,50000
963,28,11,2022,30,L,995,14,1,20000
4166,29,4,2023,24,L,650,7,10,10000
4563,24,5,2024,66,L,204,2,10,10000
2016,10,6,2023,31,P,648,3,6,20000
9265,7,12,2023,34,L,666,16,5,10000
7867,3,8,2024,34,L,836,15,9,10000
9782,25,11,2023,72,L,191,20,11,30000
344,20,8,2022,21,L,817,19,2,30000
7353,17,9,2022,69,L,285,1,11,40000
4275,13,7,2023,55,L,676,14,12,50000
5732,4,7,2022,75,L,262,3,6,50000
8439,9,11,2022,69,L,977,11,12,20000
2707,18,10,2022,53,L,425,15,1,50000
7847,15,6,2024,61,L,260,6,13,10000
9305,28,3,2024,71,P,574,6,12,10000
1190,12,2,2022,47,P,380,19,1,50000
6196,24,10,2024,23,P,550,11,10,30000
6912,18,2,2024,41,L,586,2,13,30000
2141,2,2,2023,59,P,342,4,5,40000
5888,19,9,2024,74,P,829,11,14,20000
3053,17,9,2023,44,P,705,20,7,10000
7735,21,7,2022,26,P,432,16,11,20000
9353,15,9,2022,39,L,279,18,4,40000
3519,1,7,2023,77,L,552,5,4,20000
1000,8,7,2023,25,P,667,1,5,30000
990,15,8,2023,63,L,379,12,1,10000
7654,10,3,2022,32,P,420,14,3,10000
6336,9,9,2024,76,L,496,18,11,40000
1927,25,5,2023,70,P,249,6,12,50000
5171,17,12,2023,50,P,395,11,9,30000
5290,19,9,2022,24,P,745,5,2,30000
1763,7,12,2023,37,P,252,17,9,10000
5305,4,4,2023,34,L,530,12,14,50000
9123,16,3,2022,21,P,171,19,14,30000
4108,6,11,2024,32,P,587,19,5,40000
2504,14,9,2023,40,P,438,9,10,30000
294,15,8,2023,42,P,128,18,5,10000
8973,28,7,2023,72,P,163,9,2,10000
8546,9,9,2022,49,L,547,5,14,10000
309,28,6,2022,43,P,523,4,14,10000
2309,7,6,2022,44,P,84,8,3,40000
5978,10,7,2022,21,P,458,17,1,30000
8356,24,7,2024,38,P,134,14,8,30000
9428,29,9,2022,66,L,494,15,14,50000
4168,24,11,2022,67,P,436,18,10,40000
2199,31,8,2024,74,L,626,8,9,40000
3558,24,2,2023,32,P,711,5,5,30000
773,16,6,2023,27,P,704,16,10,40000
1089,1,11,2023,59,L,942,15,4,30000
434,21,2,2022,35,L,184,7,8,20000
6758,13,5,2024,77,L,198,10,14,40000
2862,4,1,2023,52,L,13,20,12,40000
9570,6,8,2023,77,P,104,18,11,10000
2119,19,7,2022,68,L,734,11,10,10000
9144,4,4,2023,26,P,99,20,5,50000
1943,15,12,2023,31,L,360,16,12,40000
7091,2,1,2024,56,P,698,14,14,20000
1737,31,2,2024,52,P,453,10,14,40000
5248,2,7,2024,54,L,255,1,4,50000
182,6,2,2023,36,L,880,11,6,10000
1956,9,8,2023,23,P,177,12,9,40000
9871,28,9,2024,64,L,585,17,12,50000
9170,18,3,2023,69,L,918,4,11,30000
7268,10,9,2024,41,L,305,13,1,10000
8025,29,12,2022,71,L,545,5,7,30000
8642,29,6,2023,66,L,701,18,11,10000
1380,24,2,2022,51,L,197,11,3,40000
3541,26,4,2023,65,P,874,4,6,20000
4520,18,12,2024,62,P,915,10,4,50000
8116,26,6,2023,57,P,548,20,8,30000
7544,11,2,2023,79,P,871,5,13,50000
7331,29,1,2023,74,P,745,13,9,30000
2343,19,8,2022,51,L,267,10,12,10000
428,31,11,2022,72,L,592,15,11,20000
7537,21,10,2024,33,L,235,17,3,40000
798,13,9,2022,53,L,807,13,1,20000
7197,19,5,2023,50,L,788,16,1,40000
5728,21,3,2024,26,P,211,11,11,10000
3111,12,3,2023,70,P,193,1,9,20000
9340,18,9,2022,54,P,646,7,14,20000
1294,20,3,2023,71,L,764,11,6,10000
3435,24,11,2024,53,L,496,10,10,20000
6513,14,6,2023,51,L,930,4,3,20000
3069,11,3,2022,69,P,402,4,9,50000
8004,9,2,2024,52,L,623,15,12,50000
5138,19,12,2022,79,P,879,8,2,20000
4881,9,5,2022,26,L,208,17,2,30000
3557,15,10,2024,54,L,558,14,8,30000
384,10,5,2022,36,L,742,6,8,10000
6629,3,9,2022,61,P,978,6,9,30000
5670,9,12,2024,52,P,315,1,4,50000
6733,2,1,2023,80,P,890,17,10,30000
1093,16,9,2024,80,L,532,20,4,10000
1226,1,4,2022,34,L,979,20,14,20000
1108,19,9,2022,25,P,551,13,13,50000
4793,30,3,2023,65,L,358,18,10,10000
9217,27,5,2024,51,P,640,6,7,40000
1087,1,7,2024,48,L,671,5,10,40000
8840,6,2,2022,80,P,888,13,11,10000
2614,29,9,2024,50,P,6,19,4,50000
1791,7,4,2023,57,L,842,20,11,40000
8324,4,8,2023,35,L,831,11,6,10000
9994,11,2,2023,64,L,468,17,5,20000
1341,23,2,2024,29,L,80,11,6,50000
7519,31,8,2023,45,L,159,5,8,40000
2637,2,7,2023,34,L,568,9,7,20000
5583,4,11,2024,40,L,708,19,12,20000
6135,22,1,2022,68,L,228,4,12,10000
3940,1,6,2023,66,P,166,12,13,30000
7357,20,3,2023,67,L,130,18,4,30000
343,24,12,2024,61,P,630,8,1,20000
3073,29,12,2023,23,P,322,5,8,50000
2168,3,3,2024,31,L,60,14,14,10000
6007,24,11,2022,62,L,805,9,1,10000
8627,13,12,2023,36,P,669,20,3,50000
814,27,4,2022,56,L,865,3,8,10000
4210,30,8,2024,38,P,416,1,2,10000
1379,16,5,2023,36,L,234,16,4,20000
3142,23,4,2023,31,P,478,1,13,20000
1171,7,8,2024,62,P,439,3,14,40000
6289,2,1,2023,52,L,323,17,14,20000
9657,23,6,2023,21,L,688,15,8,40000
9514,31,3,2022,46,P,298,16,11,40000
9882,16,5,2024,49,L,634,16,8,10000
9310,9,4,2022,57,P,685,12,1,30000
7927,13,7,2023,62,L,958,5,6,40000
9828,10,4,2024,76,L,772,12,11,20000
5579,29,12,2024,77,L,553,5,7,20000
8206,12,3,2024,38,P,760,15,8,20000
6326,29,12,2022,26,P,902,10,2,40000
5212,21,1,2023,71,P,166,5,3,10000
3299,7,7,2024,28,P,255,3,14,40000
4563,1,1,2024,58,P,975,3,14,30000
5063,1,5,2022,21,L,206,13,1,20000
6674,24,7,2023,33,P,73,5,12,50000
7000,2,7,2023,23,P,280,6,14,20000
8968,21,12,2024,40,P,411,1,11,40000
6039,22,2,2023,37,P,345,20,1,10000
2441,18,3,2022,62,P,700,7,6,40000
7029,27,8,2023,56,L,953,7,8,50000
5487,25,2,2024,66,P,546,5,8,10000
1603,20,8,2022,64,L,837,14,4,40000
1127,28,3,2023,71,P,223,14,10,40000
3153,11,5,2022,71,P,552,1,9,20000
3739,27,10,2023,39,L,755,1,3,20000
6330,20,1,2024,56,P,413,6,6,50000
6792,24,11,2022,41,L,361,5,10,20000
6209,14,6,2024,46,L,20,7,4,10000
4081,27,6,2023,74,L,724,20,12,30000
563,13,3,2023,76,P,765,14,13,10000
4465,24,12,2024,36,P,806,1,9,20000
9416,31,5,2022,53,P,162,10,2,10000
7905,15,1,2024,50,L,887,3,12,10000
8083,19,12,2023,78,L,277,19,7,20000
823,29,2,2023,43,P,692,15,2,20000
3651,25,6,2022,79,P,354,15,13,10000
9087,15,6,2024,28,P,100,9,2,50000
4138,1,5,2022,33,L,931,3,1,40000
3321,14,3,2023,68,P,569,2,4,10000
6076,10,11,2022,69,L,637,4,1,20000
8456,7,1,2023,65,P,998,2,6,20000
19,23,10,2023,41,L,898,18,5,20000
7083,8,10,2022,66,L,303,5,8,20000
604,3,7,2024,32,L,620,3,5,30000
7075,31,2,2022,40,P,897,20,13,10000
9393,7,5,2024,55,L,610,17,12,40000
1354,14,9,2022,79,P,932,4,14,40000
1382,24,2,2022,72,P,394,3,9,50000
5477,21,7,2023,66,L,872,7,12,10000
4299,14,7,2023,23,P,160,9,3,10000
5786,10,8,2023,53,P,833,9,10,50000
7865,11,9,2022,30,P,5,10,1,30000
7376,9,4,2023,61,L,539,8,11,40000
3988,27,8,2023,59,P,802,7,2,40000
210,22,1,2022,43,L,813,14,8,40000
3307,26,1,2022,60,L,328,1,6,30000
7490,6,10,2024,56,P,793,13,13,50000
3708,2,9,2024,80,P,173,5,6,50000
1130,25,9,2022,61,P,569,12,8,40000
527,1,4,2024,80,L,645,1,5,50000
3559,14,9,2023,50,P,743,6,10,30000
4072,20,10,2024,66,L,204,7,12,50000
5573,30,9,2023,28,P,451,15,6,20000
7887,11,1,2024,76,L,447,1,3,30000
615,13,2,2024,42,P,428,1,5,50000
5403,15,1,2023,68,L,439,17,7,50000
4121,8,12,2022,53,P,899,4,11,30000
1807,29,3,2024,52,L,924,11,11,40000
2519,25,10,2022,31,L,965,8,8,50000
2540,9,11,2022,74,P,220,16,14,10000
6013,8,10,2023,38,L,133,19,8,50000
1212,14,5,2022,50,P,523,20,5,10000
6605,19,11,2022,77,L,852,14,12,50000
7536,26,11,2024,40,L,343,8,2,40000
3350,2,3,2024,27,P,269,18,7,40000
5688,29,1,2022,77,P,236,11,10,20000
939,21,9,2024,57,L,826,10,8,50000
7758,2,5,2023,30,L,239,5,13,20000
9073,10,2,2022,25,L,427,6,2,20000
1656,23,7,2022,63,P,53,16,7,10000
607,7,4,2022,31,L,977,1,13,10000
8866,26,9,2023,25,P,653,18,7,10000
9519,21,1,2022,23,P,154,20,4,50000
4476,20,1,2024,64,L,218,6,12,50000
148,11,8,2022,68,P,746,14,1,30000
1041,9,8,2022,41,L,11,4,12,20000
2636,15,9,2022,53,P,670,4,12,20000
9292,29,1,2022,52,L,150,19,1,50000
445,16,5,2022,37,P,700,17,9,20000
2734,1,10,2024,21,L,611,10,7,50000
6080,6,6,2022,39,L,154,18,3,50000
6341,12,9,2023,55,L,803,17,8,50000
810,26,2,2024,47,L,434,4,14,50000
8028,14,7,2024,23,P,442,15,4,40000
3260,31,5,2023,28,L,88,18,13,30000
5339,30,4,2022,31,L,332,2,2,20000
5563,13,7,2024,75,P,18,18,9,30000
1177,1,12,2024,35,P,971,20,13,50000
2897,22,5,2024,56,L,935,6,1,30000
3441,26,12,2024,36,P,66,1,12,40000
1041,28,8,2024,78,P,165,10,14,40000
7883,20,1,2023,43,L,31,11,7,10000
4865,3,9,2022,49,L,33,1,12,50000
6516,25,7,2023,28,L,265,2,3,50000
4321,14,6,2023,39,L,147,12,5,30000
9689,29,1,2024,44,P,211,3,6,50000
8759,29,1,2024,57,P,495,16,8,20000
3137,28,11,2024,28,P,117,7,7,50000
9145,14,1,2024,65,L,529,18,9,10000
417,15,5,2023,36,L,601,11,13,50000
2411,8,6,2024,44,P,439,16,9,30000
8379,9,6,2024,56,L,662,1,13,30000
6328,8,2,2024,45,L,402,9,9,10000
7485,29,3,2023,42,P,350,7,8,50000
7016,11,12,2022,62,P,886,15,12,40000
8867,25,5,2024,26,P,183,9,4,10000
9425,2,7,2023,46,L,355,16,10,30000
6310,28,4,2023,59,P,177,17,9,10000
6754,12,6,2023,60,P,112,1,2,30000
69,17,12,2023,75,L,524,2,7,40000
8544,27,3,2023,38,L,447,12,4,40000
5576,22,12,2022,26,P,265,18,11,50000
5424,5,10,2022,64,L,603,12,2,50000
2036,7,10,2022,63,L,874,17,1,30000
4343,2,1,2022,22,L,976,7,1,40000
4323,4,6,2022,63,L,77,18,2,20000
